,kal_perif_enothta,kal_perifereia,epo,power_mw,max_power,imerominia_ekdosis_adeias,area_m2,geometry,xmu,ymu
30,ΘΕΣΠΡΩΤΙΑΣ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,3,,9/26/2020,,"MULTIPOLYGON (((20.320988737821164 39.523125751517895, 20.320327491835847 39.51897775976929, 20.318154848663863 39.51894471218156, 20.317282999259533 39.51914825818818, 20.318047918997237 39.52352409524095, 20.320988737821164 39.523125751517895)))",39.52312575,20.32098874
31,ΙΩΑΝΝΙΝΩΝ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,1,1,9/2/2022,,"MULTIPOLYGON (((21.182021844228707 39.84936083944295, 21.18116456729005 39.85158778968445, 21.18405389655412 39.8522485290178, 21.184911090744855 39.850021554641984, 21.182021844228707 39.84936083944295)))",39.84936084,21.18202184
32,ΤΡΙΚΑΛΩΝ,Π. ΘΕΣΣΑΛΙΑΣ,ΟΧΙ,3,,9/26/2020,,"MULTIPOLYGON (((21.416154508863286 39.489699783551565, 21.415227990965434 39.489629363568, 21.414301474401505 39.489699783835825, 21.413410553594762 39.4899083402891, 21.412589468517197 39.49024701883777, 21.41186977699654 39.49070279982818, 21.411279125969006 39.491258170881125, 21.410840213133653 39.49189179344259, 21.41056990889795 39.49257931883644, 21.41047860463122 39.49329433012947, 21.41056981199271 39.4940093401468, 21.41084003626391 39.49469688942906, 21.411278891833863 39.49533054163964, 21.411869525552785 39.495885952645224, 21.412589237322695 39.49634177113715, 21.413410373050883 39.49668047961822, 21.41361424741604 39.49672820386762, 21.41723806640797 39.49660109378442, 21.41786673783722 39.49634177473053, 21.418586458451458 39.49588595142934, 21.419177089906498 39.495330541986846, 21.41961594737034 39.494696887280526, 21.419886168052958 39.49400934370193, 21.419977377280638 39.49329433006211, 21.41988607360418 39.492579323321394, 21.419615768331763 39.49189179315679, 21.419176858561062 39.49125817401336, 21.41858620527445 39.49070279922401, 21.417866513108574 39.49024701822167, 21.417045427042407 39.489908339056605, 21.416154508863286 39.489699783551565)))",39.48969978,21.41615451
33,ΘΕΣΠΡΩΤΙΑΣ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,3,,9/26/2020,,"MULTIPOLYGON (((20.478256045248546 39.51423407481046, 20.4760230795054 39.51102965847011, 20.47114851696655 39.51306160401195, 20.472920451623068 39.51622504513937, 20.478256045248546 39.51423407481046)))",39.51423407,20.47825605
34,ΙΩΑΝΝΙΝΩΝ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,1,1,9/2/2022,,"MULTIPOLYGON (((21.18113136285377 39.84801478407432, 21.179835548915612 39.845917580304246, 21.177114760480052 39.84691635743004, 21.17841050673369 39.8490135890699, 21.18113136285377 39.84801478407432)))",39.84801478,21.18113136
35,ΙΩΑΝΝΙΝΩΝ,Π. ΗΠΕΙΡΟΥ,ΟΧΙ,3,3,10/12/2021,,"MULTIPOLYGON (((20.725453326201023 39.426295764251726, 20.725521624205033 39.42610120466805, 20.725270757952376 39.42604823601327, 20.725202459321746 39.426242795423875, 20.725453326201023 39.426295764251726)))",39.42629576,20.72545333
36,ΡΟΔΟΠΗΣ,Π. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,ΟΧΙ,3,,9/26/2020,,"MULTIPOLYGON (((25.714328269214334 41.2285952855296, 25.707979264152577 41.22543402920395, 25.70583924674264 41.22996032400436, 25.710584403809236 41.23181984966018, 25.714276112124175 41.229483815559746, 25.714357949543725 41.2288383038857, 25.714328269214334 41.2285952855296)))",41.22859529,25.71432827
37,ΚΟΖΑΝΗΣ,Π. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΟΧΙ,3,,9/26/2020,,"MULTIPOLYGON (((21.517405230339083 40.42179907540092, 21.516465998828878 40.4217286547041, 21.515526755564252 40.42179907530819, 21.514623609178546 40.42200763233478, 21.514298681196685 40.42213984383056, 21.512158352007994 40.42379120907322, 21.512017998295715 40.423991081326704, 21.51174398284049 40.42467860810123, 21.511651423317126 40.425393615063854, 21.511735486000426 40.42604370832082, 21.51587849920194 40.429014730866626, 21.516465993478143 40.429058778624274, 21.517405334192823 40.428988350657576, 21.51790900113793 40.42887204344159, 21.521162859775217 40.42617199764469, 21.521188105734254 40.426108632170916, 21.52128056343538 40.42539361822849, 21.521188005091552 40.42467860948147, 21.520913990899498 40.42399108610486, 21.52046905334825 40.42335746191509, 21.51987029436116 40.42280208960839, 21.519140718456576 40.42234630549127, 21.518308373138943 40.422007631375244, 21.517405230339083 40.42179907540092)))",40.42179908,21.51740523
38,ΚΟΖΑΝΗΣ,Π. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΟΧΙ,4.2,4.2,2/17/2021,,"MULTIPOLYGON (((22.036473082602836 40.395869390144796, 22.037534466194728 40.39867538170945, 22.039659341072394 40.400503720506066, 22.042233987944385 40.40147710387823, 22.042361255870038 40.40140735062745, 22.042524384445034 40.401309115566946, 22.04268153951463 40.401205345226415, 22.042832400008397 40.40109625162723, 22.042976657721294 40.40098205766621, 22.043114017943363 40.40086299666012, 22.043244200061785 40.40073931186881, 22.043366938134128 40.40061125599792, 22.043481981431544 40.400479090682566, 22.04358909495082 40.400343085952585, 22.043688059894325 40.40020351968065, 22.043778674116744 40.40006067701447, 22.04386075253777 40.39991484979401, 22.04393412751986 40.39976633595513, 22.043998649210437 40.39961543892078, 22.044027251092277 40.39953665705223, 22.0415986236907 40.398319928736306, 22.03656575739146 40.39580223122685, 22.036473082602836 40.395869390144796)))",40.39586939,22.03647308
39,ΕΥΡΥΤΑΝΙΑΣ,Π. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΟΧΙ,29.4,29.4,10/27/2010,,"MULTIPOLYGON (((21.647265126491902 39.051185374811, 21.649223265748102 39.056214562633095, 21.650509399040807 39.061022708649496, 21.65447777994654 39.06969589223418, 21.65540592185746 39.072723111592886, 21.658103469559443 39.072759263307866, 21.6582894192755 39.06844372460927, 21.656544351533245 39.066486792204266, 21.651186967406165 39.05245060254627, 21.648984728428193 39.05065246652038, 21.647265126491902 39.051185374811)))",39.05118537,21.64726513
